,Entity,Code,Year,GDP,medal
0,Afghanistan,AFG,2008,1556.8445,1
1,Afghanistan,AFG,2012,2122.8308,1
2,Argentina,ARG,1992,16190.511,2
3,Argentina,ARG,1996,18031.549,24
4,Argentina,ARG,2000,18524.81,20
5,Argentina,ARG,2004,17950.15,55
6,Argentina,ARG,2008,22992.39,54
7,Argentina,ARG,2012,24118.867,22
8,Argentina,ARG,2016,23189.527,22
9,Argentina,ARG,2020,19694.56,43
10,Armenia,ARM,1996,3105.953,2
11,Armenia,ARM,2000,3921.8574,1
12,Armenia,ARM,2008,10201.56,5
13,Armenia,ARM,2012,10289.976,2
14,Armenia,ARM,2016,11580.384,4
15,Armenia,ARM,2020,13357.697,4
16,Australia,AUS,1992,30180.31,57
17,Australia,AUS,1994,32051.494,5
18,Australia,AUS,1996,33787.0,132
19,Australia,AUS,1998,35990.387,1
20,Australia,AUS,2000,38412.64,183
21,Australia,AUS,2002,39775.27,2
22,Australia,AUS,2004,41798.72,159
23,Australia,AUS,2006,43182.387,2
24,Australia,AUS,2008,44675.14,150
25,Australia,AUS,2010,44881.324,3
26,Australia,AUS,2012,46289.184,116
27,Australia,AUS,2014,47193.17,3
28,Australia,AUS,2016,48107.066,82
29,Australia,AUS,2018,49085.934,3
30,Australia,AUS,2020,48651.734,130
31,Australia,AUS,2022,51090.26,4
32,Austria,AUT,1992,38774.492,35
33,Austria,AUT,1994,39435.21,12
34,Austria,AUT,1996,41319.375,3
35,Austria,AUT,1998,43597.89,20
36,Austria,AUT,2000,46469.86,4
37,Austria,AUT,2002,47419.277,20
38,Austria,AUT,2004,48633.273,8
39,Austria,AUT,2006,50840.695,30
40,Austria,AUT,2008,53166.055,3
41,Austria,AUT,2010,51843.43,26
42,Austria,AUT,2014,52932.9,27
43,Austria,AUT,2016,53345.742,2
44,Austria,AUT,2018,55217.285,26
45,Austria,AUT,2020,51854.75,7
46,Austria,AUT,2022,55867.184,30
47,Azerbaijan,AZE,1996,2985.3372,1
48,Azerbaijan,AZE,2000,3998.5205,3
49,Azerbaijan,AZE,2004,5610.763,5
50,Azerbaijan,AZE,2008,12672.376,6
51,Azerbaijan,AZE,2012,14027.469,9
52,Azerbaijan,AZE,2016,14232.192,18
53,Azerbaijan,AZE,2020,13726.77,7
54,Belarus,BLR,1994,6458.2144,2
55,Belarus,BLR,1996,5988.0396,23
56,Belarus,BLR,1998,7293.9077,2
57,Belarus,BLR,2000,8053.1733,22
58,Belarus,BLR,2002,8961.641,1
59,Belarus,BLR,2004,10839.956,15
60,Belarus,BLR,2006,13214.871,1
61,Belarus,BLR,2008,15942.896,25
62,Belarus,BLR,2010,17300.703,3
63,Belarus,BLR,2012,18611.453,21
64,Belarus,BLR,2014,19119.312,6
65,Belarus,BLR,2016,17883.19,12
66,Belarus,BLR,2018,18974.746,6
67,Belarus,BLR,2020,19239.553,10
68,Belarus,BLR,2022,19092.111,2
69,Belgium,BEL,1992,36426.992,3
70,Belgium,BEL,1996,38208.72,6
71,Belgium,BEL,1998,40252.47,1
72,Belgium,BEL,2000,43024.14,7
73,Belgium,BEL,2004,45540.47,3
74,Belgium,BEL,2008,48423.516,7
75,Belgium,BEL,2012,48210.926,3
76,Belgium,BEL,2016,49829.926,23
77,Belgium,BEL,2018,51113.48,1
78,Belgium,BEL,2020,49030.992,27
79,Belgium,BEL,2022,53287.152,2
80,Brazil,BRA,1992,10103.788,14
81,Brazil,BRA,1996,11224.399,68
82,Brazil,BRA,2000,11529.486,48
83,Brazil,BRA,2004,12127.133,42
84,Brazil,BRA,2008,14067.946,86
85,Brazil,BRA,2012,15425.353,63
86,Brazil,BRA,2016,14402.494,56
87,Brazil,BRA,2020,14710.355,55
88,Brunei,BRN,2012,67792.76,1
89,Brunei,BRN,2016,59980.99,2
90,Brunei,BRN,2020,61603.55,1
91,Burundi,BDI,1996,880.3094,1
92,Burundi,BDI,2016,764.3366,1
93,Cameroon,CMR,2000,2937.992,19
94,Cameroon,CMR,2004,3245.4958,1
95,Cameroon,CMR,2008,3308.3198,1
96,Cameroon,CMR,2012,3371.9756,1
97,Canada,CAN,1992,33305.434,82
98,Canada,CAN,1994,34951.754,40
99,Canada,CAN,1996,35744.137,50
100,Canada,CAN,1998,38025.254,51
101,Canada,CAN,2000,41307.75,31
102,Canada,CAN,2002,42412.414,75
103,Canada,CAN,2004,43704.668,17
104,Canada,CAN,2006,45401.465,69
105,Canada,CAN,2008,45841.996,36
106,Canada,CAN,2010,44907.966,93
107,Canada,CAN,2012,46116.426,59
108,Canada,CAN,2014,47554.258,91
109,Canada,CAN,2016,47460.37,73
110,Canada,CAN,2018,48946.246,103
111,Canada,CAN,2020,46193.176,85
112,Canada,CAN,2022,49296.38,69
113,China,CHN,1992,1731.6572,86
114,China,CHN,1994,2178.924,3
115,China,CHN,1996,2602.0941000000003,112
116,China,CHN,1998,3004.4272,16
117,China,CHN,2000,3451.6792,79
118,China,CHN,2002,4024.3557,17
119,China,CHN,2004,4817.212,94
120,China,CHN,2006,6064.91025,13
121,China,CHN,2008,7412.8745,186
122,China,CHN,2010,8884.588,21
123,China,CHN,2012,10370.727,129
124,China,CHN,2014,11851.404,13
125,China,CHN,2016,13399.138,113
126,China,CHN,2018,15133.996,14
127,China,CHN,2020,16296.609,145
128,China,CHN,2022,18187.842,26
129,Colombia,COL,1992,8598.992,1
130,Colombia,COL,2000,9138.319,1
131,Colombia,COL,2004,9816.277,2
132,Colombia,COL,2008,11507.525,3
133,Colombia,COL,2012,12934.966,9
134,Colombia,COL,2016,14358.168,8
135,Colombia,COL,2020,13358.298,5
136,Cote d'Ivoire,CIV,2016,4620.349,2
137,Cote d'Ivoire,CIV,2020,5092.1636,1
138,Cyprus,CYP,2012,35642.92,1
139,Czechia,CZE,1996,23756.979,13
140,Czechia,CZE,1998,23597.307,25
141,Czechia,CZE,2000,24976.506,9
142,Czechia,CZE,2002,26289.627,3
143,Czechia,CZE,2004,28542.254,13
144,Czechia,CZE,2006,32352.812,28
145,Czechia,CZE,2008,34580.44,8
146,Czechia,CZE,2010,33483.137,9
147,Czechia,CZE,2012,33688.1,15
148,Czechia,CZE,2014,34386.703,15
149,Czechia,CZE,2016,37014.96,15
150,Czechia,CZE,2018,39941.285,7
151,Czechia,CZE,2020,38639.98,13
152,Czechia,CZE,2022,41052.348,2
153,Dominican Republic,DOM,2004,9460.913,1
154,Dominican Republic,DOM,2008,11899.228,2
155,Dominican Republic,DOM,2012,13087.949,2
156,Dominican Republic,DOM,2016,15967.202,1
157,Dominican Republic,DOM,2020,16768.426,32
158,Ecuador,ECU,1996,8487.086,1
159,Ecuador,ECU,2008,10284.954,1
160,Ecuador,ECU,2020,10356.975,3
161,Egypt,EGY,2004,8249.868,5
162,Egypt,EGY,2008,9770.222,2
163,Egypt,EGY,2012,10279.86,4
164,Egypt,EGY,2016,10765.829,3
165,Egypt,EGY,2020,11989.6,6
166,Estonia,EST,2000,17765.207,3
167,Estonia,EST,2002,20364.008,3
168,Estonia,EST,2004,23691.152,3
169,Estonia,EST,2006,28814.92,3
170,Estonia,EST,2008,29621.764,3
171,Estonia,EST,2010,26015.746,1
172,Estonia,EST,2012,28997.322,2
173,Estonia,EST,2016,32008.934,4
174,Estonia,EST,2020,35883.266,5
175,Estonia,EST,2022,37711.82,1
176,Ethiopia,ETH,1992,598.9227,3
177,Ethiopia,ETH,1996,731.18463,3
178,Ethiopia,ETH,2000,719.00446,8
179,Ethiopia,ETH,2004,781.9135,7
180,Ethiopia,ETH,2008,1068.1381,7
181,Ethiopia,ETH,2012,1411.136,8
182,Ethiopia,ETH,2016,1864.4877,8
183,Ethiopia,ETH,2020,2253.2358,4
184,Finland,FIN,1992,29648.744,20
185,Finland,FIN,1994,30340.824,31
186,Finland,FIN,1996,32548.016,4
187,Finland,FIN,1998,36293.39,59
188,Finland,FIN,2000,39894.195,5
189,Finland,FIN,2002,41439.02,13
190,Finland,FIN,2004,43724.965,2
191,Finland,FIN,2006,46412.2,43
192,Finland,FIN,2008,48817.99,5
193,Finland,FIN,2010,45874.66,50
194,Finland,FIN,2012,45952.246,5
195,Finland,FIN,2014,44976.777,34
196,Finland,FIN,2016,46206.79,1
197,Finland,FIN,2018,48048.523,28
198,Finland,FIN,2020,47371.22,2
199,Finland,FIN,2022,49275.152,55
200,France,FRA,1992,34269.285,69
201,France,FRA,1994,34576.344,11
202,France,FRA,1996,35546.582,51
203,France,FRA,1998,37409.395,15
204,France,FRA,2000,39355.07,66
